id,float_id,latitude,longitude,depth,temperature,salinity,month,year,date
1,5906483,-9.8513,-151.7064,1686,6.58,35.89,6,2024,2024-06-06
2,5906476,-32.5816,134.6074,23,1.73,34.52,4,2024,2024-04-15
3,5906484,59.9077,64.9234,26,17.19,34.27,8,2024,2024-08-01
4,5906489,67.6053,19.9785,801,-2.0,32.94,1,2025,2025-01-31
5,5906487,41.7044,-33.8914,109,5.23,36.58,2,2024,2024-02-04
6,5906478,75.1559,-5.1381,41,1.72,34.44,2,2024,2024-02-26
7,5906475,69.2417,7.4447,107,-0.66,30.3,1,2025,2025-01-14
8,5906477,25.2216,-61.7277,1797,2.0,36.7,11,2024,2024-11-22
9,5906471,-34.4281,-146.9571,1774,2.0,36.24,8,2024,2024-08-03
10,5906476,69.7358,-78.4518,1946,2.0,33.78,11,2024,2024-11-02
11,5906479,-0.6918,-111.1469,41,26.08,35.18,3,2025,2025-03-17
12,5906484,79.3731,-80.8685,57,5.74,30.62,2,2025,2025-02-17
13,5906489,-51.8034,-19.3286,1188,2.0,35.44,9,2024,2024-09-27
14,5906485,-5.5171,-80.8294,14,30.32,34.42,2,2025,2025-02-26
15,5906471,-22.2281,100.044,497,7.84,35.01,4,2024,2024-04-23
16,5906479,14.075,58.6315,1153,2.0,36.45,7,2024,2024-07-02
17,5906470,77.1411,-161.8252,117,-2.0,32.25,9,2024,2024-09-21
18,5906474,61.6245,-22.9714,1064,2.0,36.54,12,2024,2024-12-27
19,5906475,25.0858,-49.1413,728,6.91,36.34,12,2024,2024-12-15
20,5906477,-59.6747,131.6389,201,-2.0,34.52,3,2024,2024-03-25
21,5906484,-3.4598,-11.8977,31,24.62,36.98,4,2024,2024-04-17
22,5906488,6.2887,-41.412,30,27.61,36.49,3,2025,2025-03-27
23,5906481,13.8185,105.3739,14,25.07,34.69,4,2024,2024-04-04
24,5906471,65.5931,-178.7359,234,-2.0,32.16,6,2024,2024-06-25
25,5906485,41.7786,-52.1462,47,11.27,35.92,3,2024,2024-03-27
26,5906480,0.6007,-99.5334,23,25.96,35.16,1,2024,2024-01-08
27,5906476,44.8855,35.4932,436,4.71,39.3,1,2025,2025-01-25
28,5906483,-1.3194,-55.8208,45,24.47,36.45,2,2025,2025-02-15
29,5906489,-9.929,-18.0951,85,21.69,36.64,1,2024,2024-01-12
30,5906474,5.4383,-114.6632,36,27.46,34.2,3,2025,2025-03-03
31,5906477,50.0648,-21.9384,43,19.2,35.35,8,2024,2024-08-30
32,5906480,6.5515,-10.8744,27,26.0,36.47,5,2024,2024-05-08
33,5906477,-58.8924,79.311,57,8.06,34.26,2,2025,2025-02-10
34,5906471,66.7012,139.306,48,5.47,30.63,2,2025,2025-02-17
35,5906473,-38.0629,51.7041,494,-2.0,34.68,12,2024,2024-12-23
36,5906470,37.9603,0.236,442,9.1,38.8,10,2024,2024-10-24
37,5906480,21.1899,-7.7971,31,23.97,33.78,3,2025,2025-03-24
38,5906488,-41.4126,112.4701,116,1.84,34.51,6,2024,2024-06-10
39,5906471,34.0507,31.8141,1775,2.0,40.0,2,2025,2025-02-13
40,5906482,1.2007,-119.0617,1613,7.58,36.51,4,2024,2024-04-18
41,5906472,74.4223,43.947,82,-2.0,30.48,3,2024,2024-03-12
42,5906472,-19.3383,98.0072,132,20.27,35.23,10,2024,2024-10-10
43,5906475,43.3826,5.0698,40,16.74,34.25,1,2024,2024-01-25
44,5906475,43.0365,13.7407,183,7.09,34.13,10,2024,2024-10-11
45,5906476,-49.1921,-88.2258,1911,2.0,36.42,2,2025,2025-02-17
46,5906474,-41.1392,-115.8022,724,-2.0,35.27,8,2024,2024-08-26
47,5906477,-5.2736,-104.3376,414,12.25,34.58,11,2024,2024-11-01
48,5906481,5.484,63.8564,35,25.71,35.29,1,2025,2025-01-07
49,5906482,23.4047,-20.6044,57,25.86,36.88,7,2024,2024-07-29
50,5906485,-9.2947,-33.3648,1351,7.67,37.02,11,2024,2024-11-24
51,5906471,-53.7488,-121.5615,62,3.01,33.95,7,2024,2024-07-11
52,5906484,58.42,-68.7299,35,10.54,36.28,10,2024,2024-10-11
53,5906472,59.7708,-36.2265,471,2.59,35.41,8,2024,2024-08-01
54,5906474,53.1995,-52.547,860,-2.0,36.07,1,2025,2025-01-15
55,5906470,28.1107,-16.9128,30,25.41,36.78,2,2024,2024-02-19
56,5906478,34.83,19.786,42,17.12,38.15,1,2024,2024-01-18
57,5906473,-31.9223,101.9763,1346,2.0,35.67,3,2024,2024-03-22
58,5906479,-58.0301,-91.5252,132,5.46,34.9,10,2024,2024-10-21
59,5906483,55.9864,-107.653,17,19.69,34.66,9,2024,2024-09-18
60,5906488,-59.6401,143.3672,19,8.92,34.33,10,2024,2024-10-27
61,5906474,13.3695,-30.6579,767,7.19,37.7,10,2024,2024-10-20
62,5906477,31.2551,30.5337,32,22.96,38.45,1,2025,2025-01-24
63,5906474,44.5739,34.373,443,2.85,39.12,2,2025,2025-02-25
64,5906489,57.2701,117.0336,1920,2.0,35.85,2,2025,2025-02-19
65,5906479,11.9836,65.5073,14,27.93,35.09,9,2024,2024-09-03
66,5906487,-8.3536,-136.5386,17,28.57,34.11,12,2024,2024-12-27
67,5906483,40.9975,-61.6775,77,8.32,34.88,11,2024,2024-11-12
68,5906470,-49.349,-10.8003,940,-2.0,35.43,1,2025,2025-01-12
69,5906486,30.2439,25.2804,242,9.66,39.0,12,2024,2024-12-13
70,5906489,5.5892,-48.1793,135,18.05,36.3,6,2024,2024-06-18
71,5906487,31.5809,-15.3797,36,15.68,35.5,9,2024,2024-09-13
72,5906483,51.4066,-27.8628,57,13.25,34.72,3,2025,2025-03-24
73,5906472,41.526,18.5032,94,12.26,38.12,10,2024,2024-10-30
74,5906478,-46.7579,-29.2447,1067,2.0,34.92,12,2024,2024-12-16
75,5906473,-0.6627,-101.6021,300,16.17,35.79,2,2024,2024-02-11
76,5906488,6.4998,-110.8092,404,11.59,35.81,3,2024,2024-03-20
77,5906474,-35.9983,169.7332,397,-0.82,34.86,1,2024,2024-01-27
78,5906477,-20.4817,94.4405,27,27.14,35.21,11,2024,2024-11-11
79,5906472,-21.4265,80.1819,1375,2.0,36.03,2,2025,2025-02-07
80,5906482,-12.5621,67.1243,1516,5.09,36.06,7,2024,2024-07-05
81,5906484,-49.3931,-21.0193,142,-2.0,34.46,7,2024,2024-07-24
82,5906479,8.557,-158.2605,57,24.11,34.45,2,2025,2025-02-01
83,5906474,30.3928,-38.5093,16,8.1,35.5,9,2024,2024-09-27
84,5906483,-48.877,-92.95,832,-2.0,34.9,6,2024,2024-06-23
85,5906474,33.0903,5.2367,216,3.47,37.82,3,2024,2024-03-23
86,5906487,30.8644,0.5571,607,8.71,38.06,8,2024,2024-08-24
87,5906473,37.5908,91.7227,516,8.08,34.57,5,2024,2024-05-24
88,5906479,56.9517,-18.3133,477,-2.0,35.09,5,2024,2024-05-11
89,5906478,34.3288,15.1262,13,23.44,38.9,2,2025,2025-02-25
90,5906483,35.3558,25.8381,28,14.19,38.92,12,2024,2024-12-18
91,5906474,-50.7449,-137.2426,47,7.48,33.96,10,2024,2024-10-11
92,5906485,28.2964,52.647,35,22.75,34.23,1,2024,2024-01-27
93,5906485,-23.8798,112.0938,15,22.88,34.61,3,2024,2024-03-04
94,5906473,67.641,-131.196,293,-2.0,31.38,7,2024,2024-07-11
95,5906489,37.4139,38.5988,220,5.9,39.19,9,2024,2024-09-13
96,5906473,51.6532,-14.3318,20,9.37,35.19,2,2025,2025-02-07
97,5906473,37.7282,110.6852,26,10.69,34.73,1,2025,2025-01-15
98,5906484,-4.6566,83.0614,49,21.42,35.14,10,2024,2024-10-29
99,5906475,58.1718,-22.1938,1081,2.0,35.18,4,2024,2024-04-20
100,5906484,44.8158,-23.2077,49,15.49,35.0,3,2025,2025-03-14
